trait_name,temperature,trait_value,reference
egg_to_adult_survival_probability,22.0,0.90812,Westbrook_Thesis_2010
egg_to_adult_survival_probability,27.0,0.9359,Westbrook_Thesis_2010
egg_to_adult_survival_probability,32.0,0.81944,Westbrook_Thesis_2010
egg_to_adult_development_rate,22.0,0.09174,Westbrook_Thesis_2010
egg_to_adult_development_rate,27.0,0.13587,Westbrook_Thesis_2010
egg_to_adult_development_rate,32.0,0.15823,Westbrook_Thesis_2010
egg_to_adult_development_rate,21.0,0.06161,Couret_et_al_2007_PLOS
egg_to_adult_development_rate,24.0,0.07599,Couret_et_al_2007_PLOS
egg_to_adult_development_rate,27.0,0.08688,Couret_et_al_2007_PLOS
egg_to_adult_development_rate,30.0,0.10081,Couret_et_al_2007_PLOS
egg_to_adult_development_rate,15.0,0.01807,Rueda_et_al_1990_EntSocAm
egg_to_adult_development_rate,20.0,0.08045,Rueda_et_al_1990_EntSocAm
egg_to_adult_development_rate,27.0,0.08532,Rueda_et_al_1990_EntSocAm
egg_to_adult_development_rate,25.0,0.15723,Rueda_et_al_1990_EntSocAm
egg_to_adult_development_rate,30.0,0.14577,Rueda_et_al_1990_EntSocAm
egg_to_adult_development_rate,34.0,0.1626,Rueda_et_al_1990_EntSocAm
egg_to_adult_survival_probability,15.0,0.0311,Rueda_et_al_1990_EntSocAm
egg_to_adult_survival_probability,20.0,0.918,Rueda_et_al_1990_EntSocAm
egg_to_adult_survival_probability,25.0,0.6258,Rueda_et_al_1990_EntSocAm
egg_to_adult_survival_probability,27.0,0.8976,Rueda_et_al_1990_EntSocAm
egg_to_adult_survival_probability,30.0,0.6634,Rueda_et_al_1990_EntSocAm
egg_to_adult_survival_probability,34.0,0.5914,Rueda_et_al_1990_EntSocAm
egg_to_adult_development_rate,15.0,0.02519,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_development_rate,20.0,0.07299,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_development_rate,25.0,0.10309,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_development_rate,30.0,0.11905,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_development_rate,35.0,0.13889,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,10.0,0.0,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,15.0,0.235,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,20.0,0.9,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,25.0,0.88,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,27.0,0.93,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,30.0,0.88,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,35.0,0.67,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_survival_probability,40.0,0.0,Tun-Lin_et_al_2000_MedVetEnto
egg_to_adult_development_rate,20.0,0.00104,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,25.0,0.09634,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,30.0,0.1218,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,20.0,0.06215,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,25.0,0.09285,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,30.0,0.12804,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,20.0,0.06427,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,25.0,0.08467,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_development_rate,30.0,0.13333,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,20.0,0.56,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,25.0,0.92,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,30.0,0.94,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,20.0,0.54,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,25.0,0.82,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,30.0,0.86,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,20.0,0.7,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,25.0,0.86,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
egg_to_adult_survival_probability,30.0,1.0,Kamimura_et_al_2002_JapanSocMedEnt&Zoo
adult_lifespan,10.82372552,10.898034318280601,Yang_et_al_2008_EpidInfect
adult_lifespan,10.60066603,13.214342059296374,Yang_et_al_2008_EpidInfect
adult_lifespan,15.3309921,27.83921583387694,Yang_et_al_2008_EpidInfect
adult_lifespan,16.55244216,30.839952949334187,Yang_et_al_2008_EpidInfect
adult_lifespan,20.04602109,23.727604255830556,Yang_et_al_2008_EpidInfect
adult_lifespan,21.77042116,26.873937102195185,Yang_et_al_2008_EpidInfect
adult_lifespan,25.61629688,32.85327255390302,Yang_et_al_2008_EpidInfect
adult_lifespan,27.62920948,36.82427320576399,Yang_et_al_2008_EpidInfect
adult_lifespan,31.34186139,22.67890635147039,Yang_et_al_2008_EpidInfect
adult_lifespan,31.66115353,29.240139705878697,Yang_et_al_2008_EpidInfect
adult_lifespan,32.56507293,22.463683356232437,Yang_et_al_2008_EpidInfect
adult_lifespan,33.39482457,20.046521963520743,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,10.57413184,0.033741077,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,10.81052189,0.067996215,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,15.30290639,0.373021158,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,16.55096406,1.06293739,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,20.0580655,3.340506817,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,21.84793149,3.58010585,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,25.58830746,6.998562967,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,27.61388198,7.514493008,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,31.6687307,7.232226934,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,33.42559166,7.195214562,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,31.32446579,9.5151239,Yang_et_al_2008_EpidInfect
eggs_per_female_per_day,32.5359161,11.20797261,Yang_et_al_2008_EpidInfect
extrinsic_incubation_rate,12.7926332,0.031166237950026786,Focks_et_al_1995_AJTMH
extrinsic_incubation_rate,13.0444544,0.039968389767925626,Focks_et_al_1995_AJTMH
extrinsic_incubation_rate,23.75322701,0.05006362949634004,Focks_et_al_1995_AJTMH
extrinsic_incubation_rate,23.89829743,0.07497572362919004,Focks_et_al_1995_AJTMH
extrinsic_incubation_rate,23.95725071,0.09806124927987986,Focks_et_al_1995_AJTMH
