trait_name,temperature,trait_value,reference
egg_to_adult_survival_probability,5,0.0,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,10,0.0,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,15,0.363636364,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,20,0.476923077,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,25,0.469230769,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,30,0.385714286,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,35,0.015789474,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,40,0.0,Delatte_etal_2009_JMedEnto
egg_to_adult_survival_probability,22,0.880885312,Westbrook_Thesis_2010
egg_to_adult_survival_probability,27,0.984909457,Westbrook_Thesis_2010
egg_to_adult_survival_probability,32,0.89416499,Westbrook_Thesis_2010
egg_to_adult_survival_probability,22,0.908119658,Westbrook_Thesis_2010
egg_to_adult_survival_probability,27,0.935897436,Westbrook_Thesis_2010
egg_to_adult_survival_probability,32,0.819444444,Westbrook_Thesis_2010
egg_to_adult_survival_probability,25,0.891891892,Witwatana_Kittayaong_2006_Med&VetEnt
egg_to_adult_survival_probability,37,0.298327759,Witwatana_Kittayaong_2006_Med&VetEnt
egg_to_adult_survival_probability,15,0.625,Teng_Apperson_2000_JMedEnto
egg_to_adult_survival_probability,23,0.712264151,Teng_Apperson_2000_JMedEnto
egg_to_adult_survival_probability,31,0.804245283,Teng_Apperson_2000_JMedEnto
egg_to_adult_survival_probability,20,0.826839443,Muturi_et_al_2011_JMedEnto
egg_to_adult_survival_probability,25,0.994069568,Muturi_et_al_2011_JMedEnto
egg_to_adult_survival_probability,30,0.874589509,Muturi_et_al_2011_JMedEnto
egg_to_adult_survival_probability,20,0.73096605,Muturi_et_al_2011_JMedEnto
egg_to_adult_survival_probability,25,0.70858103,Muturi_et_al_2011_JMedEnto
egg_to_adult_survival_probability,30,0.539920058,Muturi_et_al_2011_JMedEnto
egg_to_adult_development_rate,22,0.048077455,Alto_et_al_2001b_JMedEnto
egg_to_adult_development_rate,26,0.054535139,Alto_et_al_2001b_JMedEnto
egg_to_adult_development_rate,30,0.058846719,Alto_et_al_2001b_JMedEnto
egg_to_adult_development_rate,18,0.040816327,Westbrook_et_al_2010_VecBorn&ZooDis
egg_to_adult_development_rate,24,0.090909091,Westbrook_et_al_2010_VecBorn&ZooDis
egg_to_adult_development_rate,32,0.111111111,Westbrook_et_al_2010_VecBorn&ZooDis
egg_to_adult_development_rate,25,0.094382022,Witwatana_Kittayaong_2006_Med&VetEnt
egg_to_adult_development_rate,37,0.130508475,Witwatana_Kittayaong_2006_Med&VetEnt
egg_to_adult_development_rate,20,0.063694268,Muturi_et_al_2011_JMedEnto
egg_to_adult_development_rate,25,0.101626016,Muturi_et_al_2011_JMedEnto
egg_to_adult_development_rate,30,0.121506683,Muturi_et_al_2011_JMedEnto
egg_to_adult_development_rate,20,0.064102564,Muturi_et_al_2011_JMedEnto
egg_to_adult_development_rate,25,0.035335689,Muturi_et_al_2011_JMedEnto
egg_to_adult_development_rate,30,0.063291139,Muturi_et_al_2011_JMedEnto
egg_to_adult_development_rate,22,0.075543232,Westbrook_Thesis_2010
egg_to_adult_development_rate,27,0.10843753,Westbrook_Thesis_2010
egg_to_adult_development_rate,32,0.121396268,Westbrook_Thesis_2010
egg_to_adult_development_rate,22,0.091743119,Westbrook_Thesis_2010
egg_to_adult_development_rate,27,0.135869565,Westbrook_Thesis_2010
egg_to_adult_development_rate,32,0.158227848,Westbrook_Thesis_2010
egg_to_adult_development_rate,12,0.01818,Briegel_etal_2001_JMedEnto
egg_to_adult_development_rate,17,0.02941,Briegel_etal_2001_JMedEnto
egg_to_adult_development_rate,27,0.07143,Briegel_etal_2001_JMedEnto
egg_to_adult_development_rate,32,0.03125,Briegel_etal_2001_JMedEnto
eggs_per_female_per_cycle,15,20.0,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,20,42.63636364,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,20,51.8,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,20,80.0,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,25,68.61538462,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,25,70.85714286,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,25,74.30769231,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,30,77.19047619,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,30,98.68421053,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,30,60.3125,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,35,47.93333333,Delatte_etal_2009_JMedEnto
eggs_per_female_per_cycle,35,51.5,Delatte_etal_2009_JMedEnto
biting_rate,20,0.14285714285714285,Delatte_etal_2009_JMedEnto
biting_rate,20,0.14285714285714285,Delatte_etal_2009_JMedEnto
biting_rate,20,0.07142857142857142,Delatte_etal_2009_JMedEnto
biting_rate,20,0.09090909090909091,Delatte_etal_2009_JMedEnto
biting_rate,20,0.2,Delatte_etal_2009_JMedEnto
biting_rate,20,0.125,Delatte_etal_2009_JMedEnto
biting_rate,20,0.2,Delatte_etal_2009_JMedEnto
biting_rate,20,0.1111111111111111,Delatte_etal_2009_JMedEnto
biting_rate,20,0.05555555555555555,Delatte_etal_2009_JMedEnto
biting_rate,20,0.2,Delatte_etal_2009_JMedEnto
biting_rate,20,0.16666666666666666,Delatte_etal_2009_JMedEnto
biting_rate,20,0.1111111111111111,Delatte_etal_2009_JMedEnto
biting_rate,20,0.1,Delatte_etal_2009_JMedEnto
biting_rate,20,0.2,Delatte_etal_2009_JMedEnto
biting_rate,20,0.2,Delatte_etal_2009_JMedEnto
biting_rate,20,0.09090909090909091,Delatte_etal_2009_JMedEnto
biting_rate,20,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,20,0.1111111111111111,Delatte_etal_2009_JMedEnto
biting_rate,20,0.16666666666666666,Delatte_etal_2009_JMedEnto
biting_rate,25,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,25,0.2,Delatte_etal_2009_JMedEnto
biting_rate,25,0.25,Delatte_etal_2009_JMedEnto
biting_rate,25,0.25,Delatte_etal_2009_JMedEnto
biting_rate,25,0.25,Delatte_etal_2009_JMedEnto
biting_rate,25,0.14285714285714285,Delatte_etal_2009_JMedEnto
biting_rate,25,0.2,Delatte_etal_2009_JMedEnto
biting_rate,25,0.2,Delatte_etal_2009_JMedEnto
biting_rate,25,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,25,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,25,0.25,Delatte_etal_2009_JMedEnto
biting_rate,25,0.2,Delatte_etal_2009_JMedEnto
biting_rate,25,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,25,0.25,Delatte_etal_2009_JMedEnto
biting_rate,25,0.25,Delatte_etal_2009_JMedEnto
biting_rate,25,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,25,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,25,0.3333333333333333,Delatte_etal_2009_JMedEnto
biting_rate,25,0.2,Delatte_etal_2009_JMedEnto
